company,position,companyLocation,employeePosition,employeeDepartment,title,score,createdAt,positive,negative,suggestion,atmosphere,image,workLife,career,salary,environment,teamwork,oldColleagues,leadership,workConditions,communication,equality,tasks
"deutschebahn","contractor","Berlin, Land Berlin","contractor","administration","Ich bin begeistert von der Bahn",4.9,"2019-10-27T00:00:00+00:00","Mein Arbeitgeber ist sehr transparent und bezieht die Angestellten mit ein","Nichts, ich bin rundum zufrieden","Ich habe keine Verbesserungsvorschläge","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","administration","Jederzeit wieder! Der Wechsel zur DB-Zeitarbeit aus einem unbefristeten Arbeitsverhältnis war richtig!",4.5,"2019-10-22T00:00:00+00:00","Regelmäßiger Austausch mit den AGL´s der DB-Zeitarbeit","Die großen Unterschiede beim Urlaubsanspruch, Festangestellte haben teilweise 42 Arbeitstage, das sind 3 Wochen mehr Urlaub!","Es gibt immer noch kleine Unterschiede zwischen Zeitarbeitnehmern und Festangestellten, hinsichtlich Ausstattung","","","","","","","","","","","","",""
"deutschebahn","contractor","Hannover, Niedersachsen","contractor","operations","Ich hab negative Erfahrungen mit dem Unternehmen machen müssen, unberechtigt.",3.4,"2019-10-11T00:00:00+00:00","Nichts, denn das was mir widerfahren ist, trotz mündlicher Zusagen wurd ich auf unschönerweise gekündigt voll gepackt mit lügen","Das habe ich leider gerade eben schon beantwortet","Gerechter sein und besser kontrollieren","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","operations","Ich mag meinen Job, bin aber mit dem monatlichen Gehalt nicht zufrieden",4.2,"2019-10-01T00:00:00+00:00","Er ist Chefkoch und macht einen tollen Job.","Ich weiß es nicht genau. Es kann manchmal zu viel fordern, aber dass ich nicht schlecht sagen kann","Neue Rezepte. Ein neuer Ansatz. Eine neue Art zu kochen.","","","","","","","","","","","","",""
"deutschebahn","contractor","Hannover, Niedersachsen","contractor","recruiting","Nicht alles immer so ernst nehmen und grundsätzlich sehen, was man an der Bahn als Arbeitgeber hat.",3.2,"2019-09-10T00:00:00+00:00","Gehalt ist immer pünktlich auf dem Konto.","Sollte vielleicht mehr auf die Erfahrung der langjährigen Mitarbeiter setzen.","Siehe Punkt was der Arbeitgeber schlecht macht.","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","sales","Bessere Umgang mit allen Mitarbeitern wäre besser",5,"2019-08-08T00:00:00+00:00","Gute Bezahlung gute Zuschläge sehr empfehlenswert","Information erst zum Ende des Vertrages meistens zu lange warten","Bessere Kommunikation für alle Mitarbeiter","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","product","Keine Perspektive, gute Bezahlung",2.2,"2019-08-07T00:00:00+00:00","","","","Tolles Team","","Zu viele Überstunden, sehr hoher Leistungsdruck","","","","","","Keine Perspektive, nur leere Versprechungen. Zu hoher Druck","","Gegeneinander statt miteinander","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","operations","Naja es geht, aber es ist in Ordnung. Es gibt Schlimmeres",3.2,"2019-08-04T00:00:00+00:00","Naja Gehalt ist pünktlich drauf. Die Urlaub Tage sind gut","Keine Gehalt Erhöhung automatisch","Mehr auf die kleine Arbeiter einhergeht","","","","","","","","","","","","",""
"deutschebahn","contractor","Koblenz, Aargau","contractor","other","Erfahrungen aus meiner Arbeit bisher",4.6,"2019-07-16T00:00:00+00:00","Auftrag und alle Bereiche und Arbeiten","Nichts nur sollte mehr für Mitarbeiter angeboten werden","Keine Verbesserungen gewünscht bin zufrieden","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","sales","Nicht unbedingt zu empfehlen. Gehalt auch nicht überragend",3.2,"2019-07-15T00:00:00+00:00","klasse mit den Arbeitszeiten- ganz flexibel selbst zu gestalten. Auch Urlaub klappt immer wann es von mir gewünscht wird","Kaum kommunikation was meine arbeit betrifft. schlechte kollegen, da läßt er auch nicht mit sich handeln.","arbeitsplätze zu laut, kollegen zu unfreundlich. Vorgesetzte nicht kooperativ.","nicht so gut","","","","","","meine sind nicht gut","","","","","",""
"deutschebahn","contractor","Krefeld, Nordrhein-Westfalen","contractor","other","Hatte mit dem Arbeitgeber bisher noch keine negativen Erfahrungen.",3.6,"2019-07-14T00:00:00+00:00","Bemühungen um die Kundenzufriedenheit zu verbessern","Es müssetn mehr Mitarbeiter eingestellt werden ...","keine Verbesserungsvorschläge","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","other","Zugbegleiter",4.3,"2019-07-05T00:00:00+00:00","Ausbildung Weiterbildung","Zu viele Führungskräfte die keine Ahnung von Eisenbahn haben","Wasserkopf abbauen mehr auf die Basis hören","","","","","","","","","","Fahrgäste lassen oft zu wünschen übrig","","",""
