company,position,companyLocation,employeePosition,employeeDepartment,title,score,createdAt,positive,negative,suggestion,atmosphere,image,workLife,career,salary,environment,teamwork,oldColleagues,leadership,workConditions,communication,equality,tasks
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Für ein Call-Center ist es OK",2.8,"2013-07-30T00:00:00+00:00","","","Mehr Gehalt, weniger über Zeitarbeitsfirmen einstellen, wenn man will auch eine 40h/Stunden-Woche anbieten","Die Arbeitsatmosphäre ist super, man verspürt relativ wenig Druck.","Über die Deutsche Bahn bzw. dessen Kundendialog kann man geteilter Meinung sein. Für ein Call-Center ist","Gearbeitet wird größtenteils nur 30 h/Woche, höchstens 40 h/Woche - an 5 Tagen. Der Schichtplan wird mehrere Wochen im Voraus bekanntgegeben. Urlaub zur gewünschten Zeit zu nehmen kann schwierig sein. Bei einigen wird auf die Familie Rücksicht genommen (Mutti-Schichten) wodurch aber die anderen häufiger Spät- und Wochenendschicht haben.","Aufstiegschancen sind beinahe nicht vorhanden - Weiterbildung gibt es nicht","Für ein Call-Center wird ein relativ gutes Gehalt gezahlt. Leider werden Neueinstellungen NUR über Zeitarbeitsfirmen gemacht.","Die PCs laufen IMMER, auch wenn Sie nicht genutzt werden. Das Licht bleibt auch immer Nachts angeschaltet. Müll wird getrtent.","Die meisten Kollegen sind nett und sympathisch. Das hängt aber vermutlich mit der Arbeit im Call-Center zusammen. Wer unten ist, hält eben zusammen.","In dem Unternehmen ist es egal, welches Alter man hat.","Die gesetzten Ziele sind teilweise utopisch und unrealistisch. Es gibt einige Vorgesetzte, die sehr steif und unsympathisch wirken - andere genau das Gegenteil. Teilweise bevorzugen die Vorgesetzten das \"Du\", andere das \"Sie\". Allgemein hat man aber mit Vorgesetzten relativ wenig zu tun.","Für ein Call-Center ist es schön ruhig, man hat relativ viel Platz. Die Technik ist größtenteils modern (wenn man von den genutzten Computern-Programmen absieht). Es ist schön sauber und angenehm. Die Klimaanlage ist aber offensichtlich schwer optimal einzustellen, sodaß es schonmal einigen zu kalt ist und deswegen im Sommer leichte Pullover/Jacken tragen.","Besprechungen gibt es wenige, das interne E-Mail-System wird offensichtlich nicht für jeden zur Verfügung gestellt. Viele Neuigkeiten werden über ein Nachrichtensystem mitgeteilt.","Ich weiß zwar nicht, wonach bei Befürderungen entschieden wird - aber es geht jedenfalls nicht nach sowas wie Geschlecht, Aussehen ....","Keine interessanten Aufgaben, bereits nach ein paar Tagen wird es eintönig. Selber bestimmen kann man über nichts und bei einigen Vorgaben fragt man sich, was sich die Vorgesetzten dabei gedacht haben."
"deutschebahn","contractor","Berlin, Land Berlin","contractor","research","Investment advisor",4,"2013-01-11T00:00:00+00:00","Work atmosphere, salary and benefits.","High pressure, boring and hard working","Balance the work assigments","","","","","","","","","","","","",""
"deutschebahn","contractor","Fulda, Hessen","contractor","logistic","DB",2.9,"2011-02-15T00:00:00+00:00","","","","","","","","","","","","leider zu Praxisfernes Denken","","","Vitamin B ist hier wichtiger als Qualifikation",""
"deutschebahn","contractor","Köln, Nordrhein-Westfalen","contractor","","Reisendenlenker",3.7,"2022-10-03T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","other","Top Arbeitgeberin",4.1,"2022-04-08T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Gite Firma!",4.8,"2021-09-03T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Hamburg, Hamburg","contractor","other","Super Arbeitgeber! Ich bin sehr zufrieden!",4.6,"2020-05-26T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Kassel, Hessen","contractor","controlling","Ich bin Schwanger und mein Vertrag läuft zum 31.03.2020. ab, ich hoffe das ich nach der Elternzeit wieder komme :)",5,"2019-11-07T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","recruiting","Top Arbeitgeber!",4.7,"2019-06-12T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Frankfurt am Main, Hessen","contractor","other","Sehr gut, prima.",5,"2019-05-09T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Hamburg, Hamburg","contractor","sales","Sensationeller Einstieg ins neue Berufsleben!!!!!",4.5,"2019-03-29T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","DB-eigene Personalüberlassung/Zeitarbeit zockt Arbeitsuchende ab",2.4,"2019-02-18T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","sales","Guter Arbeitgeber",3,"2019-01-21T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","München, Bayern","contractor","other","Keine Gute Zeit",1.3,"2018-09-18T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Mainz, Rheinland-Pfalz","contractor","administration","Positiv, angenehm und empfehlenswert!",4.9,"2018-06-27T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","München, Bayern","contractor","other","Verlogen",1.9,"2018-06-07T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","recruiting","Ausgezeichneter Arbeitsgeber mit gutem Image!",4.5,"2018-06-07T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Wuppertal, Nordrhein-Westfalen","contractor","logistic","Bin Zufrieden",4.2,"2018-05-01T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Köln, Nordrhein-Westfalen","contractor","","Sehr gute Atmosphäre, ein tolles Team!",5,"2018-04-30T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","recruiting","Gut, Besser, Bahner !",4.8,"2018-01-30T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Hanau am Main, Hessen","contractor","other","Sicherheit",4.2,"2018-01-23T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Bodenheim, Rheinland-Pfalz","contractor","research","Nie wieder",2,"2017-12-24T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","other","Sehr guter Arbeitgeber",4.7,"2017-12-04T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","controlling","",3.6,"2016-07-21T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","","",3.1,"2016-06-17T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","logistic","",1.3,"2015-03-02T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Eschborn, Hessen","contractor","","Deutsche Bahn AG, DB Systel GmbH: 3.0 von 5",3,"2014-11-05T00:00:00+00:00","","","","","","","","","","","","","","","",""
"deutschebahn","contractor","Berlin, Land Berlin","contractor","","Befriedigend: 2.46 von 5 Sternen",2.4,"2011-01-25T00:00:00+00:00","","","","","","","","","","","","","","","",""
